Type_Etude,Categorie
Toxicology - Acute Oral,Toxicology
Toxicology - Dermal,Toxicology
Toxicology - Genotoxicity,Toxicology
Toxicology - Repeat Dose,Toxicology
Ecotox - Birds,Ecotoxicology
Ecotox - Fish,Ecotoxicology
Ecotox - Bees,Ecotoxicology
PhysChem - Stability,Physico-chemistry
PhysChem - pH,Physico-chemistry
PhysChem - Solubility,Physico-chemistry
Environmental Fate - Soil,Environmental
Environmental Fate - Water,Environmental
Administrative - Summary,Administrative
Administrative - Label,Administrative
